filename;n;e;l;u;seed;best
instances/Rand/Rand_100_247_7603_10_25.fvs;100;247;10;25;7603;563
instances/Rand/Rand_100_247_7611_10_25.fvs;100;247;10;25;7611;470
instances/Rand/Rand_100_247_7619_10_25.fvs;100;247;10;25;7619;596
instances/Rand/Rand_100_247_7627_10_25.fvs;100;247;10;25;7627;589
instances/Rand/Rand_100_247_7635_10_25.fvs;100;247;10;25;7635;473
instances/Rand/Rand_100_247_7643_10_50.fvs;100;247;10;50;7643;927
instances/Rand/Rand_100_247_7651_10_50.fvs;100;247;10;50;7651;912
instances/Rand/Rand_100_247_7659_10_50.fvs;100;247;10;50;7659;910
instances/Rand/Rand_100_247_7667_10_50.fvs;100;247;10;50;7667;827
instances/Rand/Rand_100_247_7675_10_50.fvs;100;247;10;50;7675;838
instances/Rand/Rand_100_247_7683_10_75.fvs;100;247;10;75;7683;1190
instances/Rand/Rand_100_247_7691_10_75.fvs;100;247;10;75;7691;1266
instances/Rand/Rand_100_247_7699_10_75.fvs;100;247;10;75;7699;1207
instances/Rand/Rand_100_247_7707_10_75.fvs;100;247;10;75;7707;1504
instances/Rand/Rand_100_247_7715_10_75.fvs;100;247;10;75;7715;1524
instances/Rand/Rand_100_3069_9763_10_25.fvs;100;3069;10;25;9763;1177
instances/Rand/Rand_100_3069_9771_10_25.fvs;100;3069;10;25;9771;1142
instances/Rand/Rand_100_3069_9779_10_25.fvs;100;3069;10;25;9779;1188
instances/Rand/Rand_100_3069_9787_10_25.fvs;100;3069;10;25;9787;1150
instances/Rand/Rand_100_3069_9795_10_25.fvs;100;3069;10;25;9795;1158
instances/Rand/Rand_100_3069_9803_10_50.fvs;100;3069;10;50;9803;2224
instances/Rand/Rand_100_3069_9811_10_50.fvs;100;3069;10;50;9811;1853
instances/Rand/Rand_100_3069_9819_10_50.fvs;100;3069;10;50;9819;2009
instances/Rand/Rand_100_3069_9827_10_50.fvs;100;3069;10;50;9827;2917
instances/Rand/Rand_100_3069_9835_10_50.fvs;100;3069;10;50;9835;2157
instances/Rand/Rand_100_3069_9843_10_75.fvs;100;3069;10;75;9843;3313
instances/Rand/Rand_100_3069_9851_10_75.fvs;100;3069;10;75;9851;3187
instances/Rand/Rand_100_3069_9859_10_75.fvs;100;3069;10;75;9859;3097
instances/Rand/Rand_100_3069_9867_10_75.fvs;100;3069;10;75;9867;3723
instances/Rand/Rand_100_3069_9875_10_75.fvs;100;3069;10;75;9875;3262
instances/Rand/Rand_100_841_8683_10_25.fvs;100;841;10;25;8683;861
instances/Rand/Rand_100_841_8691_10_25.fvs;100;841;10;25;8691;849
instances/Rand/Rand_100_841_8699_10_25.fvs;100;841;10;25;8699;911
instances/Rand/Rand_100_841_8707_10_25.fvs;100;841;10;25;8707;842
instances/Rand/Rand_100_841_8715_10_25.fvs;100;841;10;25;8715;860
instances/Rand/Rand_100_841_8723_10_50.fvs;100;841;10;50;8723;1739
instances/Rand/Rand_100_841_8731_10_50.fvs;100;841;10;50;8731;1901
instances/Rand/Rand_100_841_8739_10_50.fvs;100;841;10;50;8739;2018
instances/Rand/Rand_100_841_8747_10_50.fvs;100;841;10;50;8747;1826
instances/Rand/Rand_100_841_8755_10_50.fvs;100;841;10;50;8755;1633
instances/Rand/Rand_100_841_8763_10_75.fvs;100;841;10;75;8763;2294
instances/Rand/Rand_100_841_8771_10_75.fvs;100;841;10;75;8771;2781
instances/Rand/Rand_100_841_8779_10_75.fvs;100;841;10;75;8779;2813
instances/Rand/Rand_100_841_8787_10_75.fvs;100;841;10;75;8787;2498
instances/Rand/Rand_100_841_8795_10_75.fvs;100;841;10;75;8795;2340
instances/Rand/Rand_50_232_3643_10_25.fvs;50;232;10;25;3643;422
instances/Rand/Rand_50_232_3651_10_25.fvs;50;232;10;25;3651;390
instances/Rand/Rand_50_232_3659_10_25.fvs;50;232;10;25;3659;404
instances/Rand/Rand_50_232_3667_10_25.fvs;50;232;10;25;3667;368
instances/Rand/Rand_50_232_3675_10_25.fvs;50;232;10;25;3675;408
instances/Rand/Rand_50_232_3683_10_50.fvs;50;232;10;50;3683;601
instances/Rand/Rand_50_232_3691_10_50.fvs;50;232;10;50;3691;674
instances/Rand/Rand_50_232_3699_10_50.fvs;50;232;10;50;3699;801
instances/Rand/Rand_50_232_3707_10_50.fvs;50;232;10;50;3707;730
instances/Rand/Rand_50_232_3715_10_50.fvs;50;232;10;50;3715;899
instances/Rand/Rand_50_232_3723_10_75.fvs;50;232;10;75;3723;834
instances/Rand/Rand_50_232_3731_10_75.fvs;50;232;10;75;3731;1316
instances/Rand/Rand_50_232_3739_10_75.fvs;50;232;10;75;3739;1033
instances/Rand/Rand_50_232_3747_10_75.fvs;50;232;10;75;3747;949
instances/Rand/Rand_50_232_3755_10_75.fvs;50;232;10;75;3755;882
instances/Rand/Rand_50_784_4723_10_25.fvs;50;784;10;25;4723;507
instances/Rand/Rand_50_784_4731_10_25.fvs;50;784;10;25;4731;572
instances/Rand/Rand_50_784_4739_10_25.fvs;50;784;10;25;4739;713
instances/Rand/Rand_50_784_4747_10_25.fvs;50;784;10;25;4747;577
instances/Rand/Rand_50_784_4755_10_25.fvs;50;784;10;25;4755;728
instances/Rand/Rand_50_784_4763_10_50.fvs;50;784;10;50;4763;1428
instances/Rand/Rand_50_784_4771_10_50.fvs;50;784;10;50;4771;1196
instances/Rand/Rand_50_784_4779_10_50.fvs;50;784;10;50;4779;1102
instances/Rand/Rand_50_784_4787_10_50.fvs;50;784;10;50;4787;1345
instances/Rand/Rand_50_784_4795_10_50.fvs;50;784;10;50;4795;1058
instances/Rand/Rand_50_784_4803_10_75.fvs;50;784;10;75;4803;1552
instances/Rand/Rand_50_784_4811_10_75.fvs;50;784;10;75;4811;1712
instances/Rand/Rand_50_784_4819_10_75.fvs;50;784;10;75;4819;1635
instances/Rand/Rand_50_784_4827_10_75.fvs;50;784;10;75;4827;1935
instances/Rand/Rand_50_784_4835_10_75.fvs;50;784;10;75;4835;1633
instances/Rand/Rand_50_85_2563_10_25.fvs;50;85;10;25;2563;190
instances/Rand/Rand_50_85_2571_10_25.fvs;50;85;10;25;2571;199
instances/Rand/Rand_50_85_2579_10_25.fvs;50;85;10;25;2579;179
instances/Rand/Rand_50_85_2587_10_25.fvs;50;85;10;25;2587;168
instances/Rand/Rand_50_85_2595_10_25.fvs;50;85;10;25;2595;191
instances/Rand/Rand_50_85_2603_10_50.fvs;50;85;10;50;2603;360
instances/Rand/Rand_50_85_2611_10_50.fvs;50;85;10;50;2611;298
instances/Rand/Rand_50_85_2619_10_50.fvs;50;85;10;50;2619;273
instances/Rand/Rand_50_85_2627_10_50.fvs;50;85;10;50;2627;292
instances/Rand/Rand_50_85_2635_10_50.fvs;50;85;10;50;2635;248
instances/Rand/Rand_50_85_2643_10_75.fvs;50;85;10;75;2643;387
instances/Rand/Rand_50_85_2651_10_75.fvs;50;85;10;75;2651;284
instances/Rand/Rand_50_85_2659_10_75.fvs;50;85;10;75;2659;360
instances/Rand/Rand_50_85_2667_10_75.fvs;50;85;10;75;2667;404
instances/Rand/Rand_50_85_2675_10_75.fvs;50;85;10;75;2675;323
