filename;n;e;l;u;seed;best
instances/Rand/Rand_50_784_4779_10_50.fvs;50;784;10;50;4779;1029
instances/Rand/Rand_50_784_4787_10_50.fvs;50;784;10;50;4787;1292
instances/Rand/Rand_50_784_4795_10_50.fvs;50;784;10;50;4795;1028
instances/Rand/Rand_50_784_4803_10_75.fvs;50;784;10;75;4803;1476
instances/Rand/Rand_50_784_4811_10_75.fvs;50;784;10;75;4811;1697
instances/Rand/Rand_50_784_4819_10_75.fvs;50;784;10;75;4819;1574
instances/Rand/Rand_50_784_4827_10_75.fvs;50;784;10;75;4827;1935
instances/Rand/Rand_50_784_4835_10_75.fvs;50;784;10;75;4835;1562
instances/Rand/Rand_50_85_2563_10_25.fvs;50;85;10;25;2563;182
instances/Rand/Rand_50_85_2571_10_25.fvs;50;85;10;25;2571;182
instances/Rand/Rand_50_85_2579_10_25.fvs;50;85;10;25;2579;165
instances/Rand/Rand_50_85_2587_10_25.fvs;50;85;10;25;2587;165
instances/Rand/Rand_50_85_2595_10_25.fvs;50;85;10;25;2595;183
instances/Rand/Rand_50_85_2603_10_50.fvs;50;85;10;50;2603;322
instances/Rand/Rand_50_85_2611_10_50.fvs;50;85;10;50;2611;298
instances/Rand/Rand_50_85_2619_10_50.fvs;50;85;10;50;2619;273
instances/Rand/Rand_50_85_2627_10_50.fvs;50;85;10;50;2627;283
instances/Rand/Rand_50_85_2635_10_50.fvs;50;85;10;50;2635;239
instances/Rand/Rand_50_85_2643_10_75.fvs;50;85;10;75;2643;383
instances/Rand/Rand_50_85_2651_10_75.fvs;50;85;10;75;2651;284
instances/Rand/Rand_50_85_2659_10_75.fvs;50;85;10;75;2659;360
instances/Rand/Rand_50_85_2667_10_75.fvs;50;85;10;75;2667;395
instances/Rand/Rand_50_85_2675_10_75.fvs;50;85;10;75;2675;318
instances/Grid/Grid_10_10_1123_0_0_10_25.fvs;100;180;10;25;1123;571
instances/Grid/Grid_10_10_1131_0_0_10_25.fvs;100;180;10;25;1131;579
instances/Grid/Grid_10_10_1139_0_0_10_25.fvs;100;180;10;25;1139;570
instances/Grid/Grid_10_10_1147_0_0_10_25.fvs;100;180;10;25;1147;541
instances/Grid/Grid_10_10_1155_0_0_10_25.fvs;100;180;10;25;1155;577
instances/Grid/Grid_10_10_1163_0_0_10_50.fvs;100;180;10;50;1163;905
instances/Grid/Grid_10_10_1171_0_0_10_50.fvs;100;180;10;50;1171;926
instances/Grid/Grid_10_10_1179_0_0_10_50.fvs;100;180;10;50;1179;948
instances/Grid/Grid_10_10_1187_0_0_10_50.fvs;100;180;10;50;1187;1006
instances/Grid/Grid_10_10_1195_0_0_10_50.fvs;100;180;10;50;1195;966
instances/Grid/Grid_10_10_1203_0_0_10_75.fvs;100;180;10;75;1203;1512
instances/Grid/Grid_10_10_1211_0_0_10_75.fvs;100;180;10;75;1211;1531
instances/Grid/Grid_10_10_1219_0_0_10_75.fvs;100;180;10;75;1219;1616
instances/Grid/Grid_10_10_1227_0_0_10_75.fvs;100;180;10;75;1227;1565
instances/Grid/Grid_10_10_1235_0_0_10_75.fvs;100;180;10;75;1235;1610
instances/Grid/Grid_7_7_403_0_0_10_25.fvs;49;84;10;25;403;258
instances/Grid/Grid_7_7_411_0_0_10_25.fvs;49;84;10;25;411;255
instances/Grid/Grid_7_7_419_0_0_10_25.fvs;49;84;10;25;419;248
instances/Grid/Grid_7_7_427_0_0_10_25.fvs;49;84;10;25;427;258
instances/Grid/Grid_7_7_435_0_0_10_25.fvs;49;84;10;25;435;249
instances/Grid/Grid_7_7_443_0_0_10_50.fvs;49;84;10;50;443;468
instances/Grid/Grid_7_7_451_0_0_10_50.fvs;49;84;10;50;451;402
instances/Grid/Grid_7_7_459_0_0_10_50.fvs;49;84;10;50;459;434
instances/Grid/Grid_7_7_467_0_0_10_50.fvs;49;84;10;50;467;458
instances/Grid/Grid_7_7_475_0_0_10_50.fvs;49;84;10;50;475;430
instances/Grid/Grid_7_7_483_0_0_10_75.fvs;49;84;10;75;483;701
instances/Grid/Grid_7_7_491_0_0_10_75.fvs;49;84;10;75;491;718
instances/Grid/Grid_7_7_499_0_0_10_75.fvs;49;84;10;75;499;737
instances/Grid/Grid_7_7_507_0_0_10_75.fvs;49;84;10;75;507;725
instances/Grid/Grid_7_7_515_0_0_10_75.fvs;49;84;10;75;515;723
